# Entertainment
Netflix|netflix.com|Netflix Standard,Netflix Premium,Netflix Basic
Disney+|disneyplus.com|Disney Plus,Disney Hotstar,Disney+ Hotstar
Amazon Prime Video|primevideo.com|Prime Video
YouTube Premium|youtube.com|YouTube Red
Apple TV+|tv.apple.com|Apple TV Plus,Apple TV
HBO Max|hbomax.com|Max,HBO Now,HBO Go
Hulu|hulu.com
D&D Beyond|dndbeyond.com
Demiplane|demiplane.com
World Anvil|worldanvil.com
Inkarnate|inkarnate.com
Kanka|kanka.io
Obsidian Portal|obsidianportal.com
StartPlaying|startplaying.games
Owlbear Rodeo|owlbear.rodeo
Fantasy Grounds|fantasygrounds.com
Foundry Server|foundryserver.com
The Forge|forge-vtt.com
Molten Hosting|moltenhosting.com
Nitrado|nitrado.net
G-Portal|g-portal.com
BisectHosting|bisecthosting.com
Apex Hosting|apexminecrafthosting.com
Shockbyte|shockbyte.com
Nodecraft|nodecraft.com
Host Havoc|hosthavoc.com
GTXGaming|gtxgaming.co.uk
ScalaCube|scalacube.com
PebbleHost|pebblehost.com
Sparked Host|sparkedhost.com
# Sports
DAZN|dazn.com
ESPN+|espn.com|ESPN Plus
F1 TV|formula1.com|Formula 1
MotoGP VideoPass|motogp.com
NBA League Pass|nba.com
NFL+|nfl.com|NFL Game Pass
MLB.TV|mlb.com
NHL.TV|nhl.com
UFC Fight Pass|ufcfightpass.com
WWE Network|wwe.com
FloSports|flosports.tv
FloGrappling|flograppling.com
FloWrestling|flowrestling.org
FloRacing|floracing.com
FloBikes|flobikes.com
Willow TV|willow.tv
FanCode|fancode.com
Kayo Sports|kayosports.com.au
Optus Sport|sport.optus.com.au
beIN Sports|beinsports.com
Sportsnet+|sportsnet.ca
TSN|tsn.ca
RDS|rds.ca
FITE+|trillertv.com|TrillerTV
Tennis TV|tennistv.com
Tennis Channel|tennischannel.com
WTA TV|wtatv.com
RugbyPass|rugbypass.com
URC TV|urc.tv
Premier Sports|premiersports.com
Fanatiz|fanatiz.com
OneFootball|onefootball.com
GolfPass|golfpass.com
Rally.TV|rally.tv|WRC Plus
WEC TV|fiawec.tv
SuperView|supercars.com
FIA Formula E|fiaformulae.com
Motorvision|motorvision.tv
Racing TV|racingtv.com
The Athletic|theathletic.com
Strat-O-Matic|strat-o-matic.com
RotoWire|rotowire.com
FantasyPros|fantasypros.com
Fantasy Football Scout|fantasyfootballscout.co.uk
Fantasy Football Hub|fantasyfootballhub.co.uk
PFF|pff.com
Action Network|actionnetwork.com
TeamRankings|teamrankings.com
# Productivity
Microsoft 365|microsoft.com|Office 365,Microsoft Office
Google Workspace|workspace.google.com|G Suite,Google Apps
Notion|notion.so
Evernote|evernote.com
Todoist|todoist.com
TickTick|ticktick.com
Any.do|any.do
Remember The Milk|rememberthemilk.com
Toodledo|toodledo.com
Amazing Marvin|amazingmarvin.com
Sunsama|sunsama.com
Motion|usemotion.com
Akiflow|akiflow.com
Reclaim|reclaim.ai
Morgen|morgen.so
Routine|routine.co
Amie|amie.so
Fantastical|flexibits.com
Calendly|calendly.com
Cal.com|cal.com
Acuity Scheduling|acuityscheduling.com
SavvyCal|savvycal.com
YouCanBookMe|youcanbook.me
SimplyBook.me|simplybook.me
Setmore|setmore.com
Appointy|appointy.com
Doodle|doodle.com
When I Work|wheniwork.com
Clockwise|getclockwise.com
SkedPal|skedpal.com
Obsidian|obsidian.md
Roam Research|roamresearch.com
Reflect|reflect.app
Mem|mem.ai
Capacities|capacities.io
Heptabase|heptabase.com
Tana|tana.inc
Workflowy|workflowy.com
Dynalist|dynalist.io
RemNote|remnote.com
Craft|craft.do
Bear|bear.app
Ulysses|ulysses.app
Day One|dayoneapp.com
Journey|journey.cloud
Diarium|diariumapp.com
Goodnotes|goodnotes.com
Notability|notability.com
Noteshelf|noteshelf.net
Nebo|nebo.app
NotePlan|noteplan.co
Agenda|agenda.com
UpNote|getupnote.com
Standard Notes|standardnotes.com
Notesnook|notesnook.com
Joplin Cloud|joplinapp.org
Milanote|milanote.com
Scrintal|scrintal.com
Walling|walling.app
Taskade|taskade.com
Coda|coda.io
Airtable|airtable.com
Smartsheet|smartsheet.com
Asana|asana.com
Trello|trello.com
Monday.com|monday.com
ClickUp|clickup.com
Basecamp|basecamp.com
Wrike|wrike.com
Teamwork|teamwork.com
Hive|hive.com
Linear|linear.app
Jira|atlassian.com
Confluence|atlassian.com
Shortcut|shortcut.com
YouTrack|jetbrains.com
Zenhub|zenhub.com
MeisterTask|meistertask.com
MindMeister|mindmeister.com
XMind|xmind.app
MindNode|mindnode.com
MindManager|mindmanager.com
Lucidchart|lucidchart.com
Lucidspark|lucidspark.com
Miro|miro.com
Mural|mural.co
Whimsical|whimsical.com
FigJam|figma.com
Creately|creately.com
Cacoo|cacoo.com
Gliffy|gliffy.com
SmartDraw|smartdraw.com
EdrawMax|edrawsoft.com
Toggl Track|toggl.com
Clockify|clockify.me
Harvest|getharvest.com
Timely|timely.com
RescueTime|rescuetime.com
Rize|rize.io
Timing|timingapp.com
Timeular|timeular.com
TrackingTime|trackingtime.co
Hubstaff|hubstaff.com
Time Doctor|timedoctor.com
DeskTime|desktime.com
Everhour|everhour.com
Paymo|paymoapp.com
Freedom|freedom.to
Opal|opal.so
Forest|forestapp.cc
Focusmate|focusmate.com
Session|stayinsession.com
Serene|sereneapp.com
Centered|centered.app
Setapp|setapp.com
CleanMyMac|macpaw.com
Raycast|raycast.com
TextExpander|textexpander.com
PhraseExpress|phraseexpress.com
Text Blaze|blaze.today
Paste|pasteapp.io
CleanShot X|cleanshot.com
Snagit|techsmith.com
Screen Studio|screen.studio
Loom|loom.com
Tella|tella.tv
Zight|zight.com|CloudApp
Droplr|droplr.com
Scribe|scribehow.com
Tango|tango.us
Guidde|guidde.com
# Storage
Google One|one.google.com|Google Drive,Google One AI Premium
iCloud+|icloud.com|iCloud,Apple iCloud
Dropbox|dropbox.com|Dropbox Plus
Microsoft OneDrive|onedrive.live.com|OneDrive
Box|box.com
pCloud|pcloud.com
Sync.com|sync.com
MEGA|mega.io
Icedrive|icedrive.net
Internxt|internxt.com
Filen|filen.io
Tresorit|tresorit.com
Proton Drive|proton.me
Koofr|koofr.eu
Jottacloud|jottacloud.com
NordLocker|nordlocker.com
IDrive|idrive.com
Backblaze|backblaze.com
Carbonite|carbonite.com
Acronis|acronis.com
CrashPlan|crashplan.com
SpiderOak|spideroak.com
Livedrive|livedrive.com
OpenDrive|opendrive.com
Zoolz|zoolz.com
BigMIND|zoolz.com
Degoo|degoo.com
MediaFire|mediafire.com
WeTransfer|wetransfer.com
TransferNow|transfernow.net
TransferXL|transferxl.com
Filemail|filemail.com
SendGB|sendgb.com
Smash|fromsmash.com
MASV|massive.io
Hightail|hightail.com
Egnyte|egnyte.com
ShareFile|sharefile.com
FileCloud|filecloud.com
Nextcloud|nextcloud.com
ownCloud|owncloud.com
Seafile|seafile.com
Resilio Sync|resilio.com
GoodSync|goodsync.com
Synology C2|c2.synology.com
Wasabi|wasabi.com
Bunny Storage|bunny.net
Storj|storj.io
TeraBox|terabox.com
MultCloud|multcloud.com
# Security
1Password|1password.com
Bitwarden|bitwarden.com
Dashlane|dashlane.com
LastPass|lastpass.com
Keeper|keepersecurity.com
NordPass|nordpass.com
RoboForm|roboform.com
Enpass|enpass.io
Sticky Password|stickypassword.com
Password Boss|passwordboss.com
Passbolt|passbolt.com
Proton Pass|proton.me
NordVPN|nordvpn.com
ExpressVPN|expressvpn.com
Surfshark|surfshark.com
Proton VPN|protonvpn.com
Mullvad|mullvad.net
IVPN|ivpn.net
Windscribe|windscribe.com
TunnelBear|tunnelbear.com
Private Internet Access|privateinternetaccess.com|PIA
CyberGhost|cyberghostvpn.com
IPVanish|ipvanish.com
VyprVPN|vyprvpn.com
PureVPN|purevpn.com
Hotspot Shield|hotspotshield.com
Hide.me|hide.me
hideMyAss|hidemyass.com|HMA
PrivadoVPN|privadovpn.com
PrivateVPN|privatevpn.com
TorGuard|torguard.net
Astrill|astrill.com
AirVPN|airvpn.org
AzireVPN|azirevpn.com
Perfect Privacy|perfect-privacy.com
Mozilla VPN|mozilla.org
AdGuard VPN|adguard-vpn.com
AdGuard|adguard.com
NextDNS|nextdns.io
Control D|controld.com
CleanBrowsing|cleanbrowsing.org
DNSFilter|dnsfilter.com
Norton|norton.com
McAfee|mcafee.com
Bitdefender|bitdefender.com
Kaspersky|kaspersky.com
ESET|eset.com
Malwarebytes|malwarebytes.com
Avast|avast.com
AVG|avg.com
Avira|avira.com
Trend Micro|trendmicro.com
F-Secure|f-secure.com
Webroot|webroot.com
Sophos|sophos.com
Panda Security|pandasecurity.com
G Data|gdata-software.com
Emsisoft|emsisoft.com
Intego|intego.com
TotalAV|totalav.com
Clario|clario.co
Aura|aura.com
LifeLock|lifelock.com
IdentityForce|identityforce.com
Identity Guard|identityguard.com
IDShield|idshield.com
DeleteMe|joindeleteme.com
Incogni|incogni.com
Optery|optery.com
Kanary|kanary.com
Privacy Bee|privacybee.com
IronVest|ironvest.com
SimpleLogin|simplelogin.io
Addy.io|addy.io|AnonAddy
Firefox Relay|relay.firefox.com
DuckDuckGo Privacy Pro|duckduckgo.com
Qustodio|qustodio.com
Bark|bark.us
Net Nanny|netnanny.com
Canopy|canopy.us
# Communication
Zoom|zoom.us
Slack|slack.com
Microsoft Teams|teams.microsoft.com
Google Meet|meet.google.com
Webex|webex.com
GoTo Meeting|goto.com
RingCentral|ringcentral.com
Dialpad|dialpad.com
OpenPhone|openphone.com
Aircall|aircall.io
Nextiva|nextiva.com
8x8|8x8.com
Vonage|vonage.com
Grasshopper|grasshopper.com
Ooma|ooma.com
Phone.com|phone.com
JustCall|justcall.io
CloudTalk|cloudtalk.io
KrispCall|krispcall.com
Sonetel|sonetel.com
Viber Out|viber.com
Telegram Premium|telegram.org
LINE Premium|line.me
Threema Work|threema.ch
Wire|wire.com
Element|element.io
Mattermost|mattermost.com
Rocket.Chat|rocket.chat
Chanty|chanty.com
Flock|flock.com
Twist|twist.com
Pumble|pumble.com
Lark|larksuite.com
Missive|missiveapp.com
Front|front.com
Spark Mail|sparkmailapp.com
Superhuman|superhuman.com
SaneBox|sanebox.com
Mailbird|getmailbird.com
eM Client|emclient.com
Airmail|airmailapp.com
Canary Mail|canarymail.io
Shortwave|shortwave.com
HEY|hey.com
Fastmail|fastmail.com
Proton Mail|proton.me
Tuta|tuta.com|Tutanota
Mailbox.org|mailbox.org
Posteo|posteo.de
Runbox|runbox.com
StartMail|startmail.com
Mailfence|mailfence.com
Hushmail|hushmail.com
Zoho Mail|zoho.com
Migadu|migadu.com
Purelymail|purelymail.com
MXroute|mxroute.com
Mailflow|mailflow.com
Clean Email|clean.email
Mailstrom|mailstrom.co
Boomerang|boomerangapp.com
Mailbutler|mailbutler.io
Mixmax|mixmax.com
Gmelius|gmelius.com
Hiver|hiverhq.com
Help Scout|helpscout.com
Intercom|intercom.com
Zendesk|zendesk.com
Freshdesk|freshdesk.com
Freshchat|freshworks.com
LiveChat|livechat.com
Crisp|crisp.chat
Tidio|tidio.com
Olark|olark.com
Userlike|userlike.com
Chatwoot|chatwoot.com
Gorgias|gorgias.com
Re:amaze|reamaze.com
# AI
ChatGPT|chatgpt.com|ChatGPT Plus,ChatGPT Pro,OpenAI
Claude|claude.ai|Claude Pro,Anthropic
Google Gemini|gemini.google.com|Gemini Advanced,Bard,Google AI Pro
Perplexity|perplexity.ai|Perplexity Pro
Microsoft Copilot|copilot.microsoft.com|Copilot Pro
Grok|grok.com|SuperGrok,xAI
Poe|poe.com
You.com|you.com
Kagi|kagi.com
Phind|phind.com
Mistral Le Chat|mistral.ai
Manus|manus.im
Genspark|genspark.ai
Notion AI|notion.so
Jasper|jasper.ai
Copy.ai|copy.ai
Writesonic|writesonic.com
Rytr|rytr.me
Anyword|anyword.com
Wordtune|wordtune.com
Grammarly|grammarly.com
ProWritingAid|prowritingaid.com
QuillBot|quillbot.com
LanguageTool|languagetool.org
DeepL|deepl.com
Jenni|jenni.ai
Sudowrite|sudowrite.com
NovelAI|novelai.net
AI Dungeon|aidungeon.com
Character.AI|character.ai
Replika|replika.com
Kindroid|kindroid.ai
Nomi|nomi.ai
Midjourney|midjourney.com
Leonardo.Ai|leonardo.ai
Ideogram|ideogram.ai
Krea|krea.ai
NightCafe|nightcafe.studio
DreamStudio|dreamstudio.ai
Playground AI|playground.com
Freepik|freepik.com
Adobe Firefly|firefly.adobe.com
getimg.ai|getimg.ai
SeaArt|seaart.ai
Tensor.Art|tensor.art
Civitai|civitai.com
Clipdrop|clipdrop.co
Magnific|magnific.ai
Let's Enhance|letsenhance.io
Topaz Labs|topazlabs.com
Remove.bg|remove.bg
Photoroom|photoroom.com
Pixelcut|pixelcut.ai
Runway|runwayml.com
Pika|pika.art
Luma Dream Machine|lumalabs.ai
Kling AI|klingai.com
Hailuo AI|hailuoai.video
HeyGen|heygen.com
Synthesia|synthesia.io
D-ID|d-id.com
Colossyan|colossyan.com
Elai|elai.io
Hour One|hourone.ai
DeepBrain AI|aistudios.com
InVideo|invideo.io
Pictory|pictory.ai
Fliki|fliki.ai
VEED|veed.io
Kapwing|kapwing.com
Descript|descript.com
OpusClip|opus.pro
Captions|captions.ai
Submagic|submagic.co
Wisecut|wisecut.video
Vizard|vizard.ai
ElevenLabs|elevenlabs.io
Murf|murf.ai
PlayHT|play.ht
Speechify|speechify.com
WellSaid Labs|wellsaidlabs.com
LOVO|lovo.ai
Resemble AI|resemble.ai
Listnr|listnr.ai
Suno|suno.com
Udio|udio.com
AIVA|aiva.ai
Soundraw|soundraw.io
Boomy|boomy.com
Beatoven|beatoven.ai
Mubert|mubert.com
Otter.ai|otter.ai
Fireflies.ai|fireflies.ai
Fathom|fathom.video
tl;dv|tldv.io
Read AI|read.ai
MeetGeek|meetgeek.ai
Avoma|avoma.com
Sembly|sembly.ai
Fellow|fellow.app
Krisp|krisp.ai
Supernormal|supernormal.com
Granola|granola.ai
Wispr Flow|wisprflow.ai
Superwhisper|superwhisper.com
MacWhisper|macwhisper.com
Notta|notta.ai
Sonix|sonix.ai
Trint|trint.com
Happy Scribe|happyscribe.com
Rev|rev.com
TurboScribe|turboscribe.ai
Gamma|gamma.app
Beautiful.ai|beautiful.ai
Tome|tome.app
Plus AI|plusdocs.com
SlidesAI|slidesai.io
Presentations.AI|presentations.ai
# Design
Adobe Creative Cloud|adobe.com|Adobe CC
Adobe Photoshop|adobe.com
Adobe Lightroom|adobe.com
Adobe Illustrator|adobe.com
Adobe Premiere Pro|adobe.com
Adobe After Effects|adobe.com
Adobe InDesign|adobe.com
Adobe Acrobat|adobe.com
Adobe Express|adobe.com
Adobe Stock|stock.adobe.com
Canva|canva.com|Canva Pro
Figma|figma.com
Sketch|sketch.com
Framer|framer.com
Webflow|webflow.com
Marvel|marvelapp.com
UXPin|uxpin.com
Proto.io|proto.io
ProtoPie|protopie.io
Axure|axure.com
Balsamiq|balsamiq.com
Moqups|moqups.com
Mockplus|mockplus.com
Uizard|uizard.io
Penpot|penpot.app
Zeplin|zeplin.io
Abstract|abstract.com
Spline|spline.design
Rive|rive.app
LottieFiles|lottiefiles.com
Jitter|jitter.video
Animaker|animaker.com
Vyond|vyond.com
Powtoon|powtoon.com
Renderforest|renderforest.com
VistaCreate|create.vista.com
Visme|visme.co
Piktochart|piktochart.com
Venngage|venngage.com
Infogram|infogram.com
Genially|genially.com
Prezi|prezi.com
Pitch|pitch.com
Haiku Deck|haikudeck.com
Emaze|emaze.com
Slidebean|slidebean.com
Flaticon|flaticon.com
Icons8|icons8.com
Iconfinder|iconfinder.com
The Noun Project|thenounproject.com
Streamline|streamlinehq.com
Font Awesome|fontawesome.com
Envato Elements|elements.envato.com
Motion Array|motionarray.com
Storyblocks|storyblocks.com
Shutterstock|shutterstock.com
iStock|istockphoto.com
Getty Images|gettyimages.com
Depositphotos|depositphotos.com
Dreamstime|dreamstime.com
123RF|123rf.com
Alamy|alamy.com
Stocksy|stocksy.com
Unsplash+|unsplash.com
Creative Market|creativemarket.com
Creative Fabrica|creativefabrica.com
Design Bundles|designbundles.net
Placeit|placeit.net
Smartmockups|smartmockups.com
Pacdora|pacdora.com
Rotato|rotato.app
Shots|shots.so
Fotor|fotor.com
Pixlr|pixlr.com
BeFunky|befunky.com
PicMonkey|picmonkey.com
Picsart|picsart.com
VSCO|vsco.co
Polarr|polarr.com
Afterlight|afterlight.co
Darkroom|darkroom.co
Photomator|pixelmator.com
Luminar Neo|skylum.com
ON1 Photo RAW|on1.com
Capture One|captureone.com
DxO PhotoLab|dxo.com
ACDSee|acdsee.com
SmugMug|smugmug.com
Flickr Pro|flickr.com
500px|500px.com
Pixieset|pixieset.com
ShootProof|shootproof.com
Pic-Time|pic-time.com
Zenfolio|zenfolio.com
Format|format.com
PhotoShelter|photoshelter.com
Pass Gallery|passgallery.com
# Development
GitHub|github.com
GitHub Copilot|github.com
GitLab|gitlab.com
Bitbucket|bitbucket.org
JetBrains|jetbrains.com|IntelliJ IDEA,WebStorm,PyCharm
Cursor|cursor.com
Windsurf|windsurf.com|Codeium
Tabnine|tabnine.com
Replit|replit.com
CodeSandbox|codesandbox.io
StackBlitz|stackblitz.com
Bolt.new|bolt.new
Lovable|lovable.dev
v0|v0.dev
Sourcegraph|sourcegraph.com
Augment Code|augmentcode.com
Zed|zed.dev
Warp|warp.dev
GitKraken|gitkraken.com
Tower|git-tower.com
Gitpod|gitpod.io
Coder|coder.com
CodePen|codepen.io
JSFiddle|jsfiddle.net
Postman|postman.com
Insomnia|insomnia.rest
HTTPie|httpie.io
RapidAPI|rapidapi.com
ReadMe|readme.com
GitBook|gitbook.com
Mintlify|mintlify.com
Stoplight|stoplight.io
SwaggerHub|swagger.io
Redocly|redocly.com
Scalar|scalar.com
Sentry|sentry.io
Bugsnag|bugsnag.com
Rollbar|rollbar.com
Raygun|raygun.com
AppSignal|appsignal.com
Honeybadger|honeybadger.io
LogRocket|logrocket.com
FullStory|fullstory.com
Hotjar|hotjar.com
Smartlook|smartlook.com
Heap|heap.io
Mixpanel|mixpanel.com
Amplitude|amplitude.com
PostHog|posthog.com
Plausible|plausible.io
Fathom Analytics|usefathom.com
Simple Analytics|simpleanalytics.com
Matomo|matomo.org
Umami|umami.is
Pirsch|pirsch.io
GoatCounter|goatcounter.com
Countly|countly.com
Datadog|datadoghq.com
New Relic|newrelic.com
Dynatrace|dynatrace.com
